Summary,Priority,Summary_Length
Can not clone bitbucket Repo,Low,28
Untracked branches cannot be pushed,Highest,35
Wrong Base64 Encoding - Sourcetree Authentication failed if password contains special characters (§ and german umlauts),Low,119
Checkbox 'push changes immediately' is greyed out and cannot be activated,Low,73
Push screen does not show tracked branches,Low,42
"App passsword works to get project list, but not read remote directory",Low,70
Can't clone Bitbucket private repo on sourcetree,Low,48
Tabs are not show when restart SourceTree.,Low,42
Cannot add custom action,Low,24
Cannot execute Sourcetree after install...,Low,42
Push extremely slow,Low,19
Bitbucket Oauth and Basic Authentication Not Working After Following Resolution Steps,Low,85
Window starts halfway out of the screen (multiple screens),Low,58
SourceTree - closes soon after the application starts.,Low,54
Resolve Conflicts -> Mine/Theirs when popping from Stash both confirm commit id of last commit,Low,94
App Password is not working for an overseas user,Low,48
Custom Action Bug happened between version 3.4.5 and 3.4.6 (trusted_tester),Low,75
Exception while tracking LFS extensions,Low,39
Selected commit being reset when dragging SourceTree to other display,Low,69
"Old version of Pageant included with SourceTree 3.4.7, causes key loss",Low,70
Default for Production branch in GitFlow should be main not master,Low,66
"OAuth Fails, Unable to get Secret",Low,33
SourceTree Windows app crashes upon launch,Low,42
Launch SSH agent fails code -1 with system git and OpenSSH,Low,58
case sensitivity,Low,16
Sourcetree error: Too many invalid password attempts. The requested URL returned error: 403,Low,91
Failed to list repositories for user [xxxxx],Low,44
ssh-agent.exe taks to much CPU,Medium,30
Local Repositories  Bookmark Bar does not refresh,Low,49
Force push on repository with submodules does not work,Low,54
Clone crash when I put URL with SourceTree V3.4.7,Low,49
SourceTree Windows app crashes while cloning if GitHub repo is empty,Low,68
Cloning Bitbucket Server Repo via HTTP crashes SourceTree app,Low,61
branches checked out in different worktree not shown in the left panel,Low,70
Stashes diff view only show one file,Low,36
SourceTree does not start (as.atlassian.com),Low,44
Source Tree overlapping Taskbar Windows 11,Low,42
Accounts for remote repo fails to connect ,Low,42
"can not access repositories, authentication always fails",Low,56
Authentication Failed - Unable to resolve,Low,41
http.proxy set to www.google.com:80 when set proxy to OS default,Low,64
Bug in listing bitbucket repos,Low,30
Spaces in File path of Custom Action,Low,36
Failed to start (System.BadImageFormatException),Low,48
Add extended integration with Team Foundation Server (TFS) 2015 and Visual Studio Online,Low,88
git.exe fsmonitor process did not exit after close sourcetree ,Low,62
Crash when clone remote EMPTY (private) GitHUB repository,Low,57
Log 4j vulnerability,Low,20
Sourcetree Graphics Problems,Low,28
Sourcetree crash on startup,Low,27
Sourcetree Stop during Clone -> advanced setting ,Low,49
Multiple keys with same alias.,Low,30
Source Tree is Crashing without any message while cloning remote repository.,Low,76
Errors During Installation,Low,26
Folder icons for Local repositories overlap text,Low,48
Cannot Remove Keys from SSH Agent,Low,33
Versionstring not update after auto-update,Low,42
Cloning a repository that doesn't contain any branch and commit crashes the app,Low,79
Denial of service when cloning an empty git repository,Low,54
graphic artifacts,Low,17
Error at cloning Repository ,Low,28
Sourcetree crashes when trying to pull a repository (after  being recognized as a valid git repository),Low,103
Userpics in commits,Low,19
SourceTree crashes while trying to clone empty repository,Low,57
Update-Dialog unreadable in Dark-mode,Low,37
SourceTree doesn't open nor reinstall (after Windows 10 Update),Low,63
"In Windows 11 environment, minimizing the program and maximizing the program again will cause the page to crash",Low,111
unable to use sourcetree,Low,24
Choosing resolve using mine asks me to confirm that I want to resolve using theirs,Low,82
V3.4.6 crashes in Clone dialog,Low,30
Issues when trtying to Authenticate. ,Low,37
Issue with local repositories and tabs at startup,Low,49
Issue with local repositories and tabs at startup,Low,49
Graphics issues when mousing over the interface,Low,47
"Buttons getting disappeared.. while I hover on commit,pull,fetch,stash..",Low,72
Unable to stage files or trunks when accented letters are present in the code,Low,77
Sourcetree does not let me push to remote branch from by local branch,Low,69
Cannot login during app start - webpage is down,Low,47
"Track of ""Clean"" files doesn't work",Low,35
"Visually and consistently distinguish the ""main"" branch",Low,55
Text unreadable on password edit dialog in dark theme,Low,53
Commit button will not commit when adding a file,Low,48
Crash on editing remote,Low,23
"Stash + ""Keep staged changes"" does not keep changes",Low,51
Sourcetree crashes,Low,18
Sourcetree is shipping outdated putty binaries,Low,46
Move existing tag always fails with error,Low,41
End the program when cloning from empty remote repository.,Low,58
Open local repository by drag & drop does not work since 3.4.2,Low,62
Can't install sourceTree v. 1.9.13.7 ,Low,37
"Context menu options disappear, font is blurry",Low,46
Checksummed file size doesn't match during update,Low,49
Checksummed file size doesn't match during update,Low,49
"Unable to Run/Re-install Sourcetree - ""Sourcetree has stopped working""",Low,70
Checksum error on update,Low,24
Source Tree for windows - v3.4.5:  security Vulnerability CVE-2018-1285 for log4net,Low,83
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,Low,93
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,Low,93
Dictionary file blocks Sourcetree 2.3.1 from starting up,Medium,56
Identification,Low,14
Context Menü on Files very unresponsive when LFS is activated on Repository,Low,75
Resolve the problem with github OAuth authentification,Low,54
GUI glitch for many buttons,Low,27
Closing a branch with one commit does not create a new commit,Low,61
SourceTree Auto off,Low,19
We use virustotal find sourcetree 3.4.5 has Trojan Horse on it,Low,62
Maximized window under taskbar,Low,30
Remote option in source tree not working when click on that your windows source tree application crash ,Low,103
Force push fails silently,Low,25
"Patch-based staging (hunk, line) fails for non-UTF8 encoded files",Low,65
"Application crashes silently when opening a local repository, while running without admin privliges",Low,99
SourceTree does not offer branches for pushing,Low,46
Latest v3.4.5 does not pull any remote tags ,Low,44
git log failed,Low,14
"When I try clone my repo, the sourceTree crashed and closed",Low,59
"Unable to merge with GUI when the merge source branch name contains "","".",Low,72
"Amend commit: ""Replace commit text?"" dialog bug",Low,47
Commit message window resets,Low,28
Can't push to github after access token changed,Low,47
When do you update Putty?,Low,25
After setting my git account in sourcetree i am getting no unix socket support while pulling branch code,Low,104
Support multiple SSH keys,Low,25
SSH passphrase times out,Low,24
Files deleted after performing update of multiple files,Low,55
"Add repository by path doesn't normalize slashes making ""Open in Explorer"" not to work",Low,86
"Modal dialog gets stuck behind main window, making program unusable",Low,67
Jump to commit by commit Id doesn't work with upper-case commit Ids,Low,67
Sourcetree will not start beyond splash screen,Low,46
Gitflow Not Supported,Low,21
Git LFS not working when file locking option is set,Low,51
SourceTree - Settings/Preferences not saved,Low,43
"Make SourceTree reference the in-repo ""icon.png"" in a way that allows deleting the file",Low,87
Spaces and tabs in diff views are displayed in the wrong position,Low,65
SourceTree 3.4.5 crash on RepoHandlerGitOld.GetDefaultBranch,Low,60
Failed to reverse merge commit,Low,30
SourceTree crashes when cloning a repository from BitBucket,Low,59
AskPass.exe error,Low,17
Crash when changing diff font size,Low,34
sourcetree version 3.4.5 is bundling outdated pageant 0.70.2,Low,60
Azure Devops auth not working,Low,29
Scroll amount in tab bar.,Low,25
Force push setting is reset during upgrade 3.4.4 -> 3.4.5,Low,57
"After updating, system git no longer works with sourcetree",Low,58
Commit log textbox problem with new version IME for Japanese,Low,60
support new format of PuttyGen Release 0.75,Low,43
Show in Explorer reopens existing folder,Low,40
Failed to check login for user,Low,30
Push refspec not honored,High,24
"Bug in the display when doing the ""git flow finish feature"".",Low,60
Local branch does not appear in push dialog box,Low,47
Sourcetree constantly asks for GitHub credentials,Low,49
Ignore file patterns diff option does not work for untracked files,Low,66
Unable to remove submodules that located at folder which contains space,Low,71
SourceTree doesn't list local branches with underscore '_' as Tracked ,Low,70
"An ""Open Termial"" button fails for git bash [git-scm 2.31.1]",Low,60
Source Tree not getting started,Low,31
"Sourcetree sees changes after fresh ""git clone"" on WSL",Low,54
Global Author details do not update after closing Options,Low,57
When changing Branch working tree files do not refresh,Low,54
"After changing Bitbucket password, Source tree is no longer syncs with remote branch. ",Low,86
"Files disappear in ""staged files""",Low,33
Staging files deletes them instead if main working tree is not in default location.,Low,83
SourceTree crashes on startup for multi-user / RDP environments,Low,63
Opening and closing Sourcetree causes Pageant to crash/close,Low,60
SourceTree not working,Low,22
Squashing With Previous ignores the last item in the list,Low,57
make branch first time not show,Low,31
Backgroud refresh task cause mouse no response,Low,46
Pending filter in File Status view does not show newly added and modified files,Low,79
sakila,Low,6
Invalid Username & Password error while pull or push on the source tree,Low,71
  Registration form: unclear error message when registrted new user,Low,67
Cannot push with force ,Low,23
"Dream It, Be It 2022",Low,20
Yoshi test,Low,10
SourceTree display error,Low,24
3.4.3 Won't Install,Low,19
Not able to clone git repos,Low,27
ssl cerficate,Low,13
Cannot open a terminal when system git is enabled,Low,49
Remote branch name resets to empty string when select for pushing the first time,Low,80
Github Login required despite no repository or login of github used!,Low,68
Sourcetree erroneously closing pageant on exit,Low,46
Terminal no longer opens,Low,24
Failed stage lines,Low,18
Cannot unstage hunk,Low,19
Data ,Low,5
Application crashes when...,Low,27
Embedded PuTTY replaces running instance of PuTTY,Low,49
cannot resolve conflicts on changed files with removed files from master branch,Low,79
Sourcetree on exit terminates pageant process while it should not,Low,65
Git Bash cannot be opened anymore with Git 2.31,Low,47
Can't find correct git.exe path,Low,31
External merge does not work in windows sourcetree,Low,50
RepoHandlerGitOld.NeedsLargeFilesPull incorrectly returning true for files reported unchanged by LFS,Low,100
Impossible to access to the Remote Account page,Low,47
Application crashed while selecting files to stage,Low,50
Cannot browse/switch to system mercurial,Low,40
Subwindow drap and drop can not be dropped at any position in File Status and History tab for notebook screen proportion,Low,120
RCE via git-lfs in Sourcetree for Windows - CVE-2021-21237,Low,58
Sourcetree shuts down foreign pageant process,Low,45
spell check of commit messages does not work,Low,44
Sourcetree closes pageant on exit even if it hadn't been started by Sourcetree.,Low,79
SourceTree Crashes if launched by a non-admin while another user is running PAgent,Low,82
Unable to checkout to a local branch. ,Low,38
Sourcetree closes on Cancelling the checking out branch from browser,Low,68
Remote not detected after username & password keyed in,Low,54
SourceTree merge resolve conflicts doesn't launch beyond compare,Low,64
100% Disk usage,Low,15
3.4.3-beta-1 issues,Low,19
Code selection copy in Commit history view makes app unresponsive,Low,65
Intermitent GitHub/GitLab login window is shown,Low,47
Launch SSH Agent should display correct state,Low,45
Sourcetree freezing on being left in background  ,Low,49
v3.8.8 - Local repository list freezes when scrolling is needed,Low,63
Optional extended integration settings of remote are not saved across SourceTree restarts,Low,89
Application get crashed while clicking on edit button in remote settings ,Low,73
Buffer overflow with git shell ,Low,31
Unable to create pull request,Low,29
Cannot fetch or pull on Sourcetree for windows,Low,46
checkout-existing” option isn’t working with 3.3.9 version of sourcetree as the remote repository details are not being fetched.,Low,128
Can't create a pull request,Low,27
Different branch folders are merged anyway,Low,42
'git lfs pull' called everytime when starting Sourcetree or opening a repository in a tab,Low,89
SourceTree insists handling a specific repo,Low,43
"SourceTree disappears when using ""Checkout in Sourcetree"" link from Bitbucket",Low,77
Not able to clone repos from bit bucket using source tree,Low,57
"""Run 'git lfs pull' now? is triggered on every startup",High,54
Custom action parameter $BRANCH not always properly replaced,Low,60
Unable to clone a repository,Low,28
"Launching SourceTree getting""Run  'git lfs pull' now"" prompt",Low,60
Changing the remote repository path of project causes SourceTree to crash,High,73
SourceTree Returns Incomplete & Inaccurate List of Repositories from Bitbucket Server,Low,85
Sourcetree asks to select a Credential Helper and doesn't clone,Low,63
Prompted to download GIT LFS everytime I open SourceTree 3.4.2,Low,62
Sourcetree crashes upon cloning a repository,Low,44
External difftool extremely slow,Low,32
LFS file download prompt every time I launch Sourcetree since update to v3.4.2,Low,78
Changing the remote repository path of project causes SourceTree to crash,Low,73
Unable to create pull request,Low,29
Troubles accessing REMOTES/origin,Low,33
git-svn support does not work,Low,29
Rebase children of <commit> interactively... no longer works as before,Low,70
RCE via git-lfs in Sourcetree for Windows - CVE-2020-27955,Low,58
Unable to create pull request on bitbucket server ,Low,50
Problems with Bitbucket Server Integration in Sourcetree Enterprise,Low,67
Remote project configuration error when creating a Pull Request after starting app,Low,82
Unable to Open Web Browser Error Message,Low,40
`.git` folder DELETED on crash,Low,30
Interactive rebase fails,Low,24
Dark mode still have some popup menu in Light background causing the text to be invisible,Low,89
Sourcetree v3.4.0 interactive rebase window is empty,Low,52
Interactive rebase show an empty GUI ,Low,37
I am not able to sourcetree with my repository(Azure) ,Low,54
Sourcetree rebase interactive is broken in 3.4.0,Low,48
Remote Crashes Application,Low,26
Unable to retry auth after bad password entry (LFS?),Low,52
Source tree 3.3.8  massive performance issue ,Low,45
Can't clone repository on Windows,Low,33
Sourcetree keeps crashing on Windows,Low,36
File Contents of renamed files only shows new file in Diff Against Current,Low,74
Automatic refresh cannot be disabled,Low,36
SourceTree doesn't remember Remote project configuration after restart,Low,70
Freeze/hang when scrolling file diff,Low,36
Crash report,Low,12
PATH environment setting is not working from the Bash console opened by the Terminal menu,Low,89
Пролонгация сертификата на портале,Low,34
Cannot pull changes ,Low,20
When looking closer at the available seats the screen may stop scrolling in the expected way,Low,92
"Git - Enabling ""Push all tags to remotes"" will cause Push to never finish",Low,73
Sourcetree crashes on launch 99% of the time,Low,44
Can't login to bitbucket so I can't use the software,Low,52
'Keep staged changes' checkbox doesn't work when stashing changes,Low,65
crash,Low,5
Pull requests are not shown for packages. Source Tree Windows Version,Low,69
External diff on logged file opens diff for selected file in repo,Low,65
Global ignore file not working on Windows 10,Low,44
Continue rebase fails,Low,21
config file sourcetreeconfig.json is reset after each start of sourcetree,Low,73
Same name of repos,Low,18
Whenever I start Sourcetree I get a tiny Pageant credentials dialog,Low,67
Modificar Medico,Low,16
Crear medico,Low,12
"Crash on ""Show In Explorer""",Low,27
Source Tree unable to recognize deleted Brunches by other tool,Low,62
Github basic login with PAT fails with unhelpful error,Low,54
New files only shown when unstaged set to Clean or All,Low,54
Sourcetree hangs when I mousewheel on the diff. area on the bottom right corner,Low,79
Typo in German translation for pulling a branch,Low,47
cant add more than one Azure devops account from 2 different emails/users - wrong user is sent through,Low,102
It will always add user document to tab when open the process,Low,61
Stages and Unstaged files area is not getting updated/refreshed,Low,63
Staged files view does not update after adding files,Low,52
SourceTree starts then Closes - even after uninstal and remove local appdata - where is the list of connections its is trying,Low,125
SourceTree freezes when scrolling down,Low,38
SourceTree crashes after checkout of a BitBucket Repo in SourceTree,Low,67
Tags that contain commas are cut off in the Sourcetree History View,Low,67
Subtree Dissappears from Stash after Reopening Sourcetree,Low,57
Error message for failing conenction does not have enough info,Low,62
Remote repositories search can't find some repos,Low,48
Sourcetree is freesing on large binary files,Low,44
If I upload new application version to the server there is an error,Low,67
Differing behavior - launching terminal,Low,39
Wrong link on report a bug form,Low,31
Drag/drop of local repositories does not work correctly,Medium,55
SourceTree: Commit screen is not refreshing as it was always do!,Low,64
Crash on checking out branch from browser,Low,41
Repository settings in optional extended integration with e.g. Bitbucket Server are not persisted,Low,97
Source v3.3.6 Refresh Issue,Low,27
Open remote - URL customization,Low,31
Crash on Edit Remote,Low,20
GitHub repositories are not showing in Remote repositories,Low,58
GitHub repositories are not showing in Remote repositories,Low,58
"The tab name for the cloned repository overruns the close, 'x', button.",Low,71
Source tree Version 3.3.6 on Windows 10 Professional hangs,Low,58
index.lock error when Visual Studio is opened,Low,45
Git tutorial bug,Low,16
Sourcetree keeps asking for password for bitbucket.org,Low,54
SourceTree crashes every time I try to do a Checkout from Bitbucket,Low,67
Sourcetree auto suspend on Windows 10,Low,37
Crash when closing Options dialog,Low,33
Wrong items is suggested for deletion,Low,37
Unable to resolve conflicts using source tree v3.3.9,Low,52
Scrolling to bottom of file content pane freezes program,Low,56
Unable to open Kdiff3 external tool to resolve conflicts,Low,56
commit time in 24h format ,Low,26
Modal window for Create Patch not usable on smaller screens,Low,59
3.3.9.3870 version crash sometime when trying to open a Repository  from local repositories,Low,91
Scrolling block,Low,15
Push popup has no branches listed and does not allow to proceed,Low,63
Line not fully visible in diff,Low,30
SourceTree 3.3.9 Windows Hangs,Low,30
Big problems with high refresh rate monitors,Low,44
Accessing Remote Account closes Sourcetree,Low,42
Setting lost in repository settings dialog.,Low,43
"Push Changes immediately to field frequently becomes ""-""",Low,56
Calendar disappears while scrolling the page up or down continuously ,Low,69
We need an offline Installer,Low,28
Push ignores local branches that don't match a remote tracking branch,Low,69
Sourcetree crashes when remote repository is not available,Low,58
Popup window position,Low,21
Sourcetree deletes file if I do stage,Low,37
Popups flashes periodically with no contents,Low,44
Git submodules vulnerability in Sourcetree for Windows - CVE-2020-5260,Low,70
Pushing a new branch gives a false eror messag about git ref-format rules,Low,73
Unable to clone remote repository,Low,33
Cannot Launch Sourcetree,Low,24
Rebase children of <commit> interactively... doesn't work(Cyrillic letters in the path),Low,87
"Баг в приложении ""Украинская железная дорога""",Low,45
"Authorization in the user's account is not possible through the social network ""facebook""",Low,89
Remote local branch is not shown in push menu when more than 2 remotes,Low,70
Sourcetree registration fails,Low,29
Remote Github repository search does not work,Low,45
Can't push,Low,10
Sourcetree crashes after switching to Remote tab,Low,48
Sourcetree - Aplicación se cae tras iniciar,Low,43
Site performance is very low because image are large,Low,52
Site performance is very low because scripts are in the head of the site,Low,72
ssh agent overloading cpu,Low,25
Staging in a shared submodule leads to deletion of files,Low,56
Unable to login Source Tree,Low,27
Sourcetree fails to install or open. ,Low,37
Can't push branch to Azure Git,Low,30
Custom actions not working,Low,26
I cannot log in to my Repository in Source Tree after Creating App password,Low,75
"""Check out in Sourctree"" always tries to clone new and complains about missing details.",Low,87
"Sourctree closes after ""Checkout in Sourctree"" button was used in BitBucket.",Low,76
Problem when trying setup sourcetree,Low,36
Remote details in a github repository settings don't get saved,Low,62
Cannot install Sourcetree for Windows v.2.4.8.0 on Windows 8,Low,60
Authentication not working,Low,26
Can't use authentication options,Low,32
Galaxy S7 - Envato Elements (Music tracks section) - Wrong translation (russian language),Low,89
Add an Account in Remote Tab Opens Edit Hosting Account Window with Username in Ready Only,Low,90
Unable to open Web Browser Message,Low,34
"Unable to pull the new updates from the branch""failed to aunthenticate""",Low,71
Can't rearrange bookmarks,Low,25
File status not updated automatically anymore,Low,45
Bug / Bad design: Why are branches not created?,Low,47
Failed Authentication after account setup,Low,41
Multiple Failed Authentication causes lockout,Low,45
Crashes happen every now and then,Low,33
Repository is not opened if a tab with another repository having the same name already exists,Low,93
Timezones not used to display local time in commit summary,Low,58
Search does not work with huge repo,Low,35
Force push crashes,Low,18
"SourceTree is not able to pull/push branches with / in the name, e.g. release/2020.05",Low,85
SourceTree locks corporate Atlassian account when trying to clone repository from Bitbucket.,Low,92
SourceTree wrong focus after seeing console output,Low,50
Cannot register to SourceTree using my corporate account,Low,56
Show remote branches renamed on checkout in push window.,Low,56
Source Tree Crash when add a new github account ,Low,48
Can't assign keystroke to custom actions in 3.3.8,Low,49
Global Ignore List does not work.,Low,33
dark theme=> to be improved,Low,27
Prueba,Low,6
Sourcetree Commit is Not Responding ,Low,36
"In history view, move the current branch so that it is at the top",Low,65
Authentication failure - Keeps attempting to authenticate on single request.,Low,76
"sourcetree intallation stuck at ""Authentication Successful""",Low,59
Allowed to commit/push with unresolved conflict,Low,47
No access to taskbar in full windowed mode,Low,42
Cannot install,Low,14
File Status - Tree View - Sort order lost on refresh,Low,52
Creating new branch does not create branch on remote,Low,52
Repositories not visible,Low,24
Bad design: Uncommitted changes appear for no reason,Low,52
"Folders not properly posted, new scripts not consistently detected",Low,66
Failed to check Login for user,Low,30
adding helperselector to config,Low,31
REGRESSION: Cannot create patch from working copy,Low,49
Remove repositories dialog accumulates repository names incorrectly,Low,67
https://bitbucket.org/aiqbankinc/tht-so-inc/raw/cdfd00c1dc80080926954fa09e506a711ac6698c/README.md,Low,98
Remote Exclamation Mark although PULL and PUSH work,Low,51
Diff/Merge Fails with Beyond Compare 4,Low,38
Authentication failed on BitBucket account in sourcetree,Low,56
Sourcetree crashes when checking out branch in browser.,Low,55
SourceTree does not appear in Win10 Start Menu,Low,46
Sourcetree v3.3.8 is forgetting extended integration settings,Low,61
Remote Repos Filter not working,Low,31
Opening a saved repository from context menu opens a different repository,Low,73
When sourcetree is maximised it interferes with the taskbar  ,Low,61
Can't install sourcetree 3.3.8 on Win 7 64 bit and Win 10 64 bit ,Low,65
Each restart of sourcetree resets the account in repository settings,Low,68
"After staging, close button does not respont to enter key",Low,57
Bookmarks regularly lost,Low,24
incorrect recording when rotating the screen,Low,44
Sourcetree v3.3.8 issue while check-out and cloning,Low,51
"Display problems of ""unusual"" characters in main window diff pane",Low,65
Checking out a branch from Bitbucket Cloud UI will freeze SourceTree WIN 3.3.8,Low,78
"Cannot get past ""Registration"" step of installer",Low,48
Unable to Start SourceTree,Low,26
Severe performance problem trying to review changes in text file with extension .xml,Low,84
Instalation failure,Low,19
Unable to save sourcetree to computer,Low,37
Optional extended integration settings disappear on restart of SourceTree,Low,73
"Open Selected Version does nothing, even though extension is registered with Windows",Low,84
Source tree wrongly includes files when deleting file in unstaged files region,Low,78
Cannot Load TimeZoneConverter when Linking Bitbucket Account,Low,60
Open console button doesn't work,Low,32
Failure to install and also failure to set install location,Low,59
When click in Bitbucket login open an Localhost URL,Low,51
Unable to use Sourcetree and downlod repository on second machine,Low,65
"Cannot push branch other than ""master""",Low,38
Unable to login when installing,Low,31
Diff not working on UTF-16 LE files without BOM,Low,47
Consume CPU More then 80%,Low,25
Clone Remote Repositories against Bitbucket Server does not find repos in projects whose name beings with period,Low,112
Newer Sourcetree versions use different API when gathering remote repositories from BitBucket Server,Low,100
Git branch history does not update unless forced,Low,48
Failed to force push ,Low,21
UI does not reflect current branch after changing,Low,49
